category_id,device_id,slnumber,imei,recievedate
1,44,05320087,356173061630450,9/12/2015
1,44,05319808,356173061910324,9/12/2015
1,44,05319867,356173061898032,9/12/2015
1,44,05319794,356173061827965,9/12/2015
1,44,05319776,356173061832205,9/12/2015
1,44,05320148,356173061791393,9/12/2015
1,44,05320085,356173061631052,9/12/2015
1,44,05319775,356173061915331,9/12/2015
1,44,05320110,356173061833278,9/12/2015
1,44,05319790,356173061841032,9/12/2015
1,44,05319800,356173061903303,9/12/2015
1,44,05319863,356173061905282,9/12/2015
1,44,05319795,356173061804741,9/12/2015
1,44,05319865,356173061902909,9/12/2015
1,44,05320112,356173061607649,9/12/2015
1,44,05319799,356173061855909,9/12/2015
1,44,05139868,356173061908005,9/12/2015
1,44,05319855,356173061793704,9/12/2015
1,44,05319783,356173061775479,9/12/2015
1,44,05319773,356173061775024,9/12/2015
1,44,05320126,356173061913773,9/12/2015
1,44,05319778,356173061855081,9/12/2015
1,44,05319851,356173061793928,9/12/2015
1,44,05319852,356173061792623,9/12/2015
1,44,05320146,356173061617614,9/12/2015
1,44,05319770,356173061915364,9/12/2015
1,44,05319860,356173061899048,9/12/2015
1,44,05319856,356173061784919,9/12/2015
1,44,05320145,356173061789231,9/12/2015
1,44,05319850,356173061827171,9/12/2015
1,44,05319769,356173061784562,9/12/2015
1,44,05319774,356173061832783,9/12/2015
1,44,05319789,356173061828336,9/12/2015
1,44,05319806,356173061776881,9/12/2015
1,44,05319788,356173061791575,9/12/2015
1,44,05319787,356173061788738,9/12/2015
1,44,05319782,356173061773045,9/12/2015
1,44,05319807,356173061902156,9/12/2015
1,44,05319848,356173061827205,9/12/2015
1,44,05319786,356173061846668,9/12/2015
1,44,05319810,356173061784349,9/12/2015
1,44,05319785,356173061915323,9/12/2015
1,44,05319803,356173061790239,9/12/2015
1,44,05320149,356173061785767,9/12/2015
1,44,05320089,356173061631334,9/12/2015
1,44,05319791,356173061791583,9/12/2015
1,44,05319853,356173061782004,9/12/2015
1,44,05319793,356173061785775,9/12/2015
1,44,05319804,356173061791997,9/12/2015
1,44,05319802,356173061910456,9/12/2015
1,44,05320129,356173061913831,9/12/2015
1,44,05319864,356173061905100,9/12/2015
1,44,05319858,356173061781691,9/12/2015
1,44,05320088,356173061607664,9/12/2015
1,44,05320147,356173061629031,9/12/2015
1,44,05319792,356173061841792,9/12/2015
1,44,05319771,356173061832635,9/12/2015
1,44,05320086,356173061631110,9/12/2015
1,44,05320106,356173061631987,9/12/2015
1,44,05319779,356173061789454,9/12/2015
1,44,05319805,356173061910894,9/12/2015
1,44,05320113,356173061608456,9/12/2015
1,44,05319859,356173061781394,9/12/2015
1,44,05319798,356173061842634,9/12/2015
1,44,05319866,356173061905167,9/12/2015
1,44,05319784,356173061785635,9/12/2015
1,44,05319797,356173061786567,9/12/2015
1,44,05319809,356173061789801,9/12/2015
1,44,05320128,356173061913724,9/12/2015
1,44,05319772,356173061854902,9/12/2015
1,44,05320127,356173061620535,9/12/2015
1,44,05320114,356173061913872,9/12/2015
1,44,05320125,356173061913849,9/12/2015
1,44,05319780,356173061841487,9/12/2015
1,44,05319781,356173061788936,9/12/2015
1,44,05319777,356173061785619,9/12/2015
1,44,05319862,356173061899758,9/12/2015
1,44,05319869,356173061803172,9/12/2015
1,44,05319816,356173061914300,9/12/2015
1,44,05319817,356173061910548,9/12/2015
1,44,05319824,356173061789579,9/12/2015
1,44,05319815,356173061830662,9/12/2015
1,44,05319819,356173061790353,9/12/2015
1,44,05319812,356173061910290,9/12/2015
1,44,05319813,356173061790411,9/12/2015
1,44,05319811,356173061830415,9/12/2015
1,44,05319810,356173061779430,9/12/2015
1,44,05319814,356173061789595,9/12/2015
1,44,05319861,356173061899410,9/12/2015
1,44,05319857,356173061781444,9/12/2015
1,44,05319827,356173061910332,9/12/2015
1,44,05319826,356173061828971,9/12/2015
1,44,05319825,356173061779588,9/12/2015
1,44,05319829,356173061792516,9/12/2015
1,44,05319820,356173061910639,9/12/2015
1,44,05319822,356173061822727,9/12/2015
1,44,05319834,356173061784679,9/12/2015
1,44,05319818,356173061911041,9/12/2015
1,44,05319821,356173061904442,9/12/2015
1,44,05319823,356173061826991,9/12/2015
