category_id,device_id,slnumber,imei,recievedate,,,,,,,,
2,48,zxxp3500712,0358899055806791,9/25/2015,,,,,,,,
2,48,zxxp3500134,0358899055801016,9/25/2015,,,,,,,,
2,48,zxxp3502838,0358899055828050,9/25/2015,,,,,,,,
2,48,zxxp3502721,0358899055826880,9/25/2015,,,,,,,,
2,48,zxxp3501196,0358899055811635,9/25/2015,,,,,,,,
2,48,zxxp3501130,0358899055810975,9/25/2015,,,,,,,,
2,48,zxxp3500121,0358899055800885,9/25/2015,,,,,,,,
2,48,zxxp3500062,0358899055800299,9/25/2015,,,,,,,,
2,48,zxxp3502761,0358899055827284,9/25/2015,,,,,,,,
2,48,zxxp3501887,0358899055818549,9/25/2015,,,,,,,,
2,48,zxxp3500057,0358899055800240,9/25/2015,,,,,,,,
2,48,zxxp3500300,0358899055802675,9/25/2015,,,,,,,,
2,48,zxxp3502642,0358899055826096,9/25/2015,,,,,,,,
2,48,zxxp3501116,0358899055810835,9/25/2015,,,,,,,,
2,48,zxxp3501144,0358899055811114,9/25/2015,,,,,,,,
2,48,zxxp3501141,0358899055811080,9/25/2015,,,,,,,,
2,48,zxxp3501195,0358899055811627,9/25/2015,,,,,,,,
2,48,zxxp3500237,0358899055802048,9/25/2015,,,,,,,,
2,48,zxxp3500364,0358899055803319,9/25/2015,,,,,,,,
2,48,zxxp3500083,0358899055800505,9/25/2015,,,,,,,,
2,48,zxxp3500413,0358899055803806,9/25/2015,,,,,,,,
2,48,zxxp3502932,0358899055828993,9/25/2015,,,,,,,,
2,48,zxxp3502819,0358899055827862,9/25/2015,,,,,,,,
2,48,zxxp3500381,0358899055803483,9/25/2015,,,,,,,,
2,48,zxxp3500397,0358899055803640,9/25/2015,,,,,,,,
2,48,zxxp3500537,0358899055805041,9/25/2015,,,,,,,,
2,48,zxxp3500114,0358899055800810,9/25/2015,,,,,,,,
2,48,zxxp3500415,0358899055803822,9/25/2015,,,,,,,,
2,48,zxxp3500391,0358899055803582,9/25/2015,,,,,,,,
2,48,zxxp3502934,0358899055829017,9/25/2015,,,,,,,,
2,48,zxxp3500417,0358899055803848,9/25/2015,,,,,,,,
2,48,zxxp3500380,0358899055803475,9/25/2015,,,,,,,,
2,48,zxxp3500199,0358899055801669,9/25/2015,,,,,,,,
2,48,zxxp3501203,0358899055811700,9/25/2015,,,,,,,,
2,48,zxxp3500058,0358899055800257,9/25/2015,,,,,,,,
2,48,zxxp3501167,0358899055811346,9/25/2015,,,,,,,,
2,48,zxxp3500120,0358899055800877,9/25/2015,,,,,,,,
2,48,zxxp3501177,0358899055811445,9/25/2015,,,,,,,,
2,48,zxxp3500190,0358899055801578,9/25/2015,,,,,,,,
2,48,zxxp3500580,0358899055805470,9/25/2015,,,,,,,,
2,48,zxxp3501190,0358899055811577,9/25/2015,,,,,,,,
2,48,zxxp3501185,0358899055811528,9/25/2015,,,,,,,,
2,48,,0358899055801594,9/25/2015,,,,,,,,
2,48,,0358899055803533,9/25/2015,,,,,,,,
2,48,,0358899055799962,9/25/2015,,,,,,,,
2,48,,0358899055801701,9/25/2015,,,,,,,,
2,48,,0358899055800828,9/25/2015,,,,,,,,
2,48,,0358899055801990,9/25/2015,,,,,,,,
2,48,,0358899055802683,9/25/2015,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
